,"subject,melody,note,onset,duration,ioi,pitch,probe,response,time,known,liked,interval,rt,musical,training,playing"
0,"1,hymn_007_b,26,25000000,1000000,1000000,71,1,4,27028618,No,3,5,2028.618,FALSE,0,0"
1,"1,hymn_022_b,22,21000000,1000000,1000000,75,1,3,23282863,No,4,6,2282.863,FALSE,0,0"
2,"1,hymn_025_b,9,8000000,1000000,1000000,75,1,5,13263862,Yes,5,12,5263.862,FALSE,0,0"
3,"1,hymn_039_b,21,20000000,1000000,1000000,64,1,2,23370597,No,4,-5,3370.597,FALSE,0,0"
4,"1,hymn_047_b,10,9000000,1000000,1000000,71,1,2,10804515,No,4,2,1804.515,FALSE,0,0"
5,"1,hymn_054_b,22,21000000,1000000,1000000,76,1,1,23449516,No,2,7,2449.516,FALSE,0,0"
6,"1,hymn_073_b,9,8000000,1000000,1000000,75,1,3,10395869,No,3,8,2395.869,FALSE,0,0"
7,"1,hymn_081_b,58,57000000,1000000,1000000,74,1,2,59543431,No,3,5,2543.431,FALSE,0,0"
8,"1,hymn_119_b,17,16000000,1000000,1000000,66,1,2,21138099,No,1,-1,5138.099,FALSE,0,0"
9,"1,hymn_124a_b,9,8000000,1000000,1000000,72,1,5,12698494,No,4,5,4698.494,FALSE,0,0"
10,"1,hymn_127_b,46,45000000,1000000,1000000,61,1,1,46543229,Yes,4,-1,1543.229,FALSE,0,0"
11,"1,hymn_161_b,13,12000000,1000000,1000000,65,1,6,15850218,No,3,-3,3850.218,FALSE,0,0"
12,"1,hymn_163_b,9,8000000,1000000,1000000,74,1,3,9871392,Yes,4,8,1871.392,FALSE,0,0"
13,"1,hymn_190_b,41,40000000,1000000,1000000,72,1,4,41756012,No,2,5,1756.012,FALSE,0,0"
14,"1,hymn_213_b,21,20000000,1000000,1000000,68,1,4,25024704,No,4,-4,5024.704,FALSE,0,0"
15,"1,hymn_233_b,18,17000000,1000000,1000000,75,1,1,19676735,No,2,7,2676.735,FALSE,0,0"
16,"1,hymn_267_b,53,52000000,1000000,1000000,68,1,4,54652201,No,3,-7,2652.201,FALSE,0,0"
17,"1,hymn_273_b,9,8000000,1000000,1000000,64,1,1,10265433,No,5,-7,2265.433,FALSE,0,0"
18,"1,hymn_291_b,14,13000000,1000000,1000000,71,1,2,16129350,No,3,-1,3129.35,FALSE,0,0"
19,"1,hymn_295_b,11,10000000,1000000,1000000,71,1,6,15252598,No,2,-5,5252.598,FALSE,0,0"
20,"1,hymn_311_b,21,20000000,1000000,1000000,74,1,1,21321417,No,5,3,1321.417,FALSE,0,0"
21,"1,hymn_388b_b,9,8000000,1000000,1000000,72,1,4,10260367,No,5,5,2260.367,FALSE,0,0"
22,"1,hymn_444_b,10,9000000,1000000,1000000,74,1,5,14439130,No,2,5,5439.13,FALSE,0,0"
23,"1,hymn_526_b,35,34000000,1000000,1000000,77,1,7,36315066,Yes,5,5,2315.066,FALSE,0,0"
24,"1,hymn_542_b,12,11000000,1000000,1000000,72,1,7,13363091,Yes,5,-4,2363.091,FALSE,0,0"
25,"1,hymn_565_b,9,8000000,1000000,1000000,74,1,2,12116452,No,2,12,4116.452,FALSE,0,0"
26,"2,hymn_007_b,26,25000000,1000000,1000000,71,1,3,27564452,No,3,5,2564.452,FALSE,0,0"
27,"2,hymn_022_b,22,21000000,1000000,1000000,75,1,2,22390932,No,4,6,1390.932,FALSE,0,0"
28,"2,hymn_025_b,9,8000000,1000000,1000000,75,1,2,10063453,No,3,12,2063.453,FALSE,0,0"
29,"2,hymn_039_b,21,20000000,1000000,1000000,64,1,5,22955664,No,5,-5,2955.664,FALSE,0,0"
30,"2,hymn_047_b,10,9000000,1000000,1000000,71,1,6,11762583,No,4,2,2762.583,FALSE,0,0"
31,"2,hymn_054_b,22,21000000,1000000,1000000,76,1,2,22152345,No,3,7,1152.345,FALSE,0,0"
32,"2,hymn_073_b,9,8000000,1000000,1000000,75,1,7,9411464,No,4,8,1411.464,FALSE,0,0"
33,"2,hymn_081_b,58,57000000,1000000,1000000,74,1,2,58369638,No,3,5,1369.638,FALSE,0,0"
34,"2,hymn_119_b,17,16000000,1000000,1000000,66,1,6,19167822,No,4,-1,3167.822,FALSE,0,0"
35,"2,hymn_124a_b,9,8000000,1000000,1000000,72,1,2,9707388,No,5,5,1707.388,FALSE,0,0"
36,"2,hymn_127_b,46,45000000,1000000,1000000,61,1,6,47481572,No,4,-1,2481.572,FALSE,0,0"
37,"2,hymn_161_b,13,12000000,1000000,1000000,65,1,6,14345990,No,4,-3,2345.99,FALSE,0,0"
38,"2,hymn_163_b,9,8000000,1000000,1000000,74,1,2,9966532,No,4,8,1966.532,FALSE,0,0"
39,"2,hymn_190_b,41,40000000,1000000,1000000,72,1,2,41664817,No,4,5,1664.817,FALSE,0,0"
40,"2,hymn_213_b,21,20000000,1000000,1000000,68,1,6,22933357,No,4,-4,2933.357,FALSE,0,0"
41,"2,hymn_233_b,18,17000000,1000000,1000000,75,1,1,18270199,No,2,7,1270.199,FALSE,0,0"
42,"2,hymn_267_b,53,52000000,1000000,1000000,68,1,6,53517326,No,4,-7,1517.326,FALSE,0,0"
43,"2,hymn_273_b,9,8000000,1000000,1000000,64,1,3,9766111,No,4,-7,1766.111,FALSE,0,0"
44,"2,hymn_291_b,14,13000000,1000000,1000000,71,1,5,17631096,No,5,-1,4631.096,FALSE,0,0"
45,"2,hymn_295_b,11,10000000,1000000,1000000,71,1,5,12270446,No,5,-5,2270.446,FALSE,0,0"
46,"2,hymn_311_b,21,20000000,1000000,1000000,74,1,2,22633282,No,4,3,2633.282,FALSE,0,0"
47,"2,hymn_388b_b,9,8000000,1000000,1000000,72,1,2,11629818,No,5,5,3629.818,FALSE,0,0"
48,"2,hymn_444_b,10,9000000,1000000,1000000,74,1,4,19455421,No,4,5,10455.421,FALSE,0,0"
49,"2,hymn_526_b,35,34000000,1000000,1000000,77,1,2,36441995,No,4,5,2441.995,FALSE,0,0"
50,"2,hymn_542_b,12,11000000,1000000,1000000,72,1,5,13365665,No,4,-4,2365.665,FALSE,0,0"
51,"2,hymn_565_b,9,8000000,1000000,1000000,74,1,1,11134460,No,3,12,3134.46,FALSE,0,0"
52,"3,hymn_007_b,26,25000000,1000000,1000000,71,1,6,27501902,No,3,5,2501.902,FALSE,0,0"
53,"3,hymn_022_b,22,21000000,1000000,1000000,75,1,3,23838733,No,2,6,2838.733,FALSE,0,0"
54,"3,hymn_025_b,9,8000000,1000000,1000000,75,1,2,11225613,No,4,12,3225.613,FALSE,0,0"
55,"3,hymn_039_b,21,20000000,1000000,1000000,64,1,3,22372923,No,3,-5,2372.923,FALSE,0,0"
56,"3,hymn_047_b,10,9000000,1000000,1000000,71,1,1,11844028,No,4,2,2844.028,FALSE,0,0"
57,"3,hymn_054_b,22,21000000,1000000,1000000,76,1,2,25284574,No,3,7,4284.574,FALSE,0,0"
58,"3,hymn_073_b,9,8000000,1000000,1000000,75,1,6,11771086,No,5,8,3771.086,FALSE,0,0"
59,"3,hymn_081_b,58,57000000,1000000,1000000,74,1,3,59478403,No,5,5,2478.403,FALSE,0,0"
60,"3,hymn_119_b,17,16000000,1000000,1000000,66,1,6,18397462,No,3,-1,2397.462,FALSE,0,0"
61,"3,hymn_124a_b,9,8000000,1000000,1000000,72,1,3,12974572,No,3,5,4974.572,FALSE,0,0"
62,"3,hymn_127_b,46,45000000,1000000,1000000,61,1,2,47454916,No,3,-1,2454.916,FALSE,0,0"
63,"3,hymn_161_b,13,12000000,1000000,1000000,65,1,4,13848990,No,3,-3,1848.99,FALSE,0,0"
64,"3,hymn_163_b,9,8000000,1000000,1000000,74,1,2,11120031,No,1,8,3120.031,FALSE,0,0"
65,"3,hymn_190_b,41,40000000,1000000,1000000,72,1,3,43289402,No,1,5,3289.402,FALSE,0,0"
66,"3,hymn_213_b,21,20000000,1000000,1000000,68,1,3,22406593,No,3,-4,2406.593,FALSE,0,0"
67,"3,hymn_233_b,18,17000000,1000000,1000000,75,1,4,19733192,No,3,7,2733.192,FALSE,0,0"
68,"3,hymn_267_b,53,52000000,1000000,1000000,68,1,4,54343391,No,1,-7,2343.391,FALSE,0,0"
69,"3,hymn_273_b,9,8000000,1000000,1000000,64,1,3,9855764,No,1,-7,1855.764,FALSE,0,0"
70,"3,hymn_291_b,14,13000000,1000000,1000000,71,1,6,15698141,No,3,-1,2698.141,FALSE,0,0"
71,"3,hymn_295_b,11,10000000,1000000,1000000,71,1,6,12492284,No,2,-5,2492.284,FALSE,0,0"
72,"3,hymn_311_b,21,20000000,1000000,1000000,74,1,1,23579722,No,2,3,3579.722,FALSE,0,0"
73,"3,hymn_388b_b,9,8000000,1000000,1000000,72,1,1,11124036,No,2,5,3124.036,FALSE,0,0"
74,"3,hymn_444_b,10,9000000,1000000,1000000,74,1,4,10999442,No,2,5,1999.442,FALSE,0,0"
75,"3,hymn_526_b,35,34000000,1000000,1000000,77,1,2,39031538,No,3,5,5031.538,FALSE,0,0"
76,"3,hymn_542_b,12,11000000,1000000,1000000,72,1,3,14833068,No,3,-4,3833.068,FALSE,0,0"
77,"3,hymn_565_b,9,8000000,1000000,1000000,74,1,2,10849077,No,3,12,2849.077,FALSE,0,0"
78,"4,hymn_007_b,26,25000000,1000000,1000000,71,1,2,27166819,No,1,5,2166.819,FALSE,0,0"
79,"4,hymn_022_b,22,21000000,1000000,1000000,75,1,1,24669570,No,2,6,3669.57,FALSE,0,0"
80,"4,hymn_025_b,9,8000000,1000000,1000000,75,1,7,9431302,No,2,12,1431.302,FALSE,0,0"
81,"4,hymn_039_b,21,20000000,1000000,1000000,64,1,5,21892431,No,4,-5,1892.431,FALSE,0,0"
82,"4,hymn_047_b,10,9000000,1000000,1000000,71,1,2,11078441,No,2,2,2078.441,FALSE,0,0"
83,"4,hymn_054_b,22,21000000,1000000,1000000,76,1,1,23542400,No,2,7,2542.4,FALSE,0,0"
84,"4,hymn_073_b,9,8000000,1000000,1000000,75,1,1,10568459,No,4,8,2568.459,FALSE,0,0"
85,"4,hymn_081_b,58,57000000,1000000,1000000,74,1,2,59180090,No,5,5,2180.09,FALSE,0,0"
86,"4,hymn_119_b,17,16000000,1000000,1000000,66,1,3,17730492,No,3,-1,1730.492,FALSE,0,0"
87,"4,hymn_124a_b,9,8000000,1000000,1000000,72,1,NA,NA,No,1,5,NA,FALSE,0,0"
88,"4,hymn_127_b,46,45000000,1000000,1000000,61,1,3,47525929,No,4,-1,2525.929,FALSE,0,0"
89,"4,hymn_161_b,13,12000000,1000000,1000000,65,1,4,13806268,No,1,-3,1806.268,FALSE,0,0"
90,"4,hymn_163_b,9,8000000,1000000,1000000,74,1,3,10000436,No,3,8,2000.436,FALSE,0,0"
91,"4,hymn_190_b,41,40000000,1000000,1000000,72,1,2,42484873,No,1,5,2484.873,FALSE,0,0"
92,"4,hymn_213_b,21,20000000,1000000,1000000,68,1,6,22008600,No,3,-4,2008.6,FALSE,0,0"
93,"4,hymn_233_b,18,17000000,1000000,1000000,75,1,3,19073190,No,2,7,2073.19,FALSE,0,0"
94,"4,hymn_267_b,53,52000000,1000000,1000000,68,1,5,55036269,No,3,-7,3036.269,FALSE,0,0"
95,"4,hymn_273_b,9,8000000,1000000,1000000,64,1,3,9238517,No,3,-7,1238.517,FALSE,0,0"
96,"4,hymn_291_b,14,13000000,1000000,1000000,71,1,3,15127553,No,2,-1,2127.553,FALSE,0,0"
97,"4,hymn_295_b,11,10000000,1000000,1000000,71,1,5,12731690,No,2,-5,2731.69,FALSE,0,0"
98,"4,hymn_311_b,21,20000000,1000000,1000000,74,1,1,22921339,No,4,3,2921.339,FALSE,0,0"
99,"4,hymn_388b_b,9,8000000,1000000,1000000,72,1,1,9802773,No,3,5,1802.773,FALSE,0,0"
100,"4,hymn_444_b,10,9000000,1000000,1000000,74,1,1,11012641,No,3,5,2012.641,FALSE,0,0"
101,"4,hymn_526_b,35,34000000,1000000,1000000,77,1,1,36885100,No,2,5,2885.1,FALSE,0,0"
102,"4,hymn_542_b,12,11000000,1000000,1000000,72,1,3,12907276,No,2,-4,1907.276,FALSE,0,0"
103,"4,hymn_565_b,9,8000000,1000000,1000000,74,1,2,9445800,No,2,12,1445.8,FALSE,0,0"
104,"5,hymn_007_b,26,25000000,1000000,1000000,71,1,7,25664568,Yes,5,5,664.568,FALSE,3,0"
105,"5,hymn_022_b,22,21000000,1000000,1000000,75,1,2,22114856,No,3,6,1114.856,FALSE,3,0"
106,"5,hymn_025_b,9,8000000,1000000,1000000,75,1,7,8824479,No,4,12,824.479,FALSE,3,0"
107,"5,hymn_039_b,21,20000000,1000000,1000000,64,1,5,20067685,No,4,-5,67.685,FALSE,3,0"
108,"5,hymn_047_b,10,9000000,1000000,1000000,71,1,7,9567396,No,4,2,567.396,FALSE,3,0"
109,"5,hymn_054_b,22,21000000,1000000,1000000,76,1,1,22330013,No,2,7,1330.013,FALSE,3,0"
110,"5,hymn_073_b,9,8000000,1000000,1000000,75,1,NA,NA,No,5,8,NA,FALSE,3,0"
111,"5,hymn_081_b,58,57000000,1000000,1000000,74,1,3,58960744,No,3,5,1960.744,FALSE,3,0"
112,"5,hymn_119_b,17,16000000,1000000,1000000,66,1,NA,NA,No,5,-1,NA,FALSE,3,0"
113,"5,hymn_124a_b,9,8000000,1000000,1000000,72,1,7,8689433,No,4,5,689.433,FALSE,3,0"
114,"5,hymn_127_b,46,45000000,1000000,1000000,61,1,5,47951210,No,5,-1,2951.21,FALSE,3,0"
115,"5,hymn_161_b,13,12000000,1000000,1000000,65,1,6,12223043,Yes,4,-3,223.043,FALSE,3,0"
116,"5,hymn_163_b,9,8000000,1000000,1000000,74,1,6,8460241,No,4,8,460.241,FALSE,3,0"
117,"5,hymn_190_b,41,40000000,1000000,1000000,72,1,5,40127301,No,2,5,127.301,FALSE,3,0"
118,"5,hymn_213_b,21,20000000,1000000,1000000,68,1,6,20828106,No,3,-4,828.106,FALSE,3,0"
119,"5,hymn_233_b,18,17000000,1000000,1000000,75,1,5,17137260,No,4,7,137.26,FALSE,3,0"
120,"5,hymn_267_b,53,52000000,1000000,1000000,68,1,7,52297680,No,4,-7,297.68,FALSE,3,0"
121,"5,hymn_273_b,9,8000000,1000000,1000000,64,1,6,8188400,No,5,-7,188.4,FALSE,3,0"
122,"5,hymn_291_b,14,13000000,1000000,1000000,71,1,1,14387779,No,2,-1,1387.779,FALSE,3,0"
123,"5,hymn_295_b,11,10000000,1000000,1000000,71,1,3,12791044,No,2,-5,2791.044,FALSE,3,0"
124,"5,hymn_311_b,21,20000000,1000000,1000000,74,1,2,21478178,No,4,3,1478.178,FALSE,3,0"
125,"5,hymn_388b_b,9,8000000,1000000,1000000,72,1,7,8751904,No,5,5,751.904,FALSE,3,0"
126,"5,hymn_444_b,10,9000000,1000000,1000000,74,1,7,9865262,No,4,5,865.262,FALSE,3,0"
127,"5,hymn_526_b,35,34000000,1000000,1000000,77,1,6,34592054,No,2,5,592.054,FALSE,3,0"
128,"5,hymn_542_b,12,11000000,1000000,1000000,72,1,6,11947281,No,5,-4,947.281,FALSE,3,0"
129,"5,hymn_565_b,9,8000000,1000000,1000000,74,1,6,8137649,No,3,12,137.649,FALSE,3,0"
130,"6,hymn_007_b,26,25000000,1000000,1000000,71,1,5,26018748,No,4,5,1018.748,TRUE,5,8"
131,"6,hymn_022_b,22,21000000,1000000,1000000,75,1,2,22813947,No,3,6,1813.947,TRUE,5,8"
132,"6,hymn_025_b,9,8000000,1000000,1000000,75,1,2,9713810,No,3,12,1713.81,TRUE,5,8"
133,"6,hymn_039_b,21,20000000,1000000,1000000,64,1,5,21254056,No,1,-5,1254.056,TRUE,5,8"
134,"6,hymn_047_b,10,9000000,1000000,1000000,71,1,4,11829079,No,3,2,2829.079,TRUE,5,8"
135,"6,hymn_054_b,22,21000000,1000000,1000000,76,1,1,22783773,No,4,7,1783.773,TRUE,5,8"
136,"6,hymn_073_b,9,8000000,1000000,1000000,75,1,6,9621609,No,4,8,1621.609,TRUE,5,8"
137,"6,hymn_081_b,58,57000000,1000000,1000000,74,1,3,58641627,No,2,5,1641.627,TRUE,5,8"
138,"6,hymn_119_b,17,16000000,1000000,1000000,66,1,5,17747801,No,3,-1,1747.801,TRUE,5,8"
139,"6,hymn_124a_b,9,8000000,1000000,1000000,72,1,5,9933808,Yes,2,5,1933.808,TRUE,5,8"
140,"6,hymn_127_b,46,45000000,1000000,1000000,61,1,2,46783920,No,5,-1,1783.92,TRUE,5,8"
141,"6,hymn_161_b,13,12000000,1000000,1000000,65,1,3,13208731,No,3,-3,1208.731,TRUE,5,8"
142,"6,hymn_163_b,9,8000000,1000000,1000000,74,1,5,9898376,No,3,8,1898.376,TRUE,5,8"
143,"6,hymn_190_b,41,40000000,1000000,1000000,72,1,3,41991730,No,3,5,1991.73,TRUE,5,8"
144,"6,hymn_213_b,21,20000000,1000000,1000000,68,1,4,24100301,No,3,-4,4100.301,TRUE,5,8"
145,"6,hymn_233_b,18,17000000,1000000,1000000,75,1,3,18869016,No,2,7,1869.016,TRUE,5,8"
146,"6,hymn_267_b,53,52000000,1000000,1000000,68,1,3,53479738,No,3,-7,1479.738,TRUE,5,8"
147,"6,hymn_273_b,9,8000000,1000000,1000000,64,1,5,9404458,No,2,-7,1404.458,TRUE,5,8"
148,"6,hymn_291_b,14,13000000,1000000,1000000,71,1,4,14122807,No,4,-1,1122.807,TRUE,5,8"
149,"6,hymn_295_b,11,10000000,1000000,1000000,71,1,5,11371282,No,2,-5,1371.282,TRUE,5,8"
150,"6,hymn_311_b,21,20000000,1000000,1000000,74,1,6,21997061,No,3,3,1997.061,TRUE,5,8"
151,"6,hymn_388b_b,9,8000000,1000000,1000000,72,1,5,8512662,No,2,5,512.662,TRUE,5,8"
152,"6,hymn_444_b,10,9000000,1000000,1000000,74,1,3,11198790,No,3,5,2198.79,TRUE,5,8"
153,"6,hymn_526_b,35,34000000,1000000,1000000,77,1,2,35309028,No,4,5,1309.028,TRUE,5,8"
154,"6,hymn_542_b,12,11000000,1000000,1000000,72,1,4,12341470,No,4,-4,1341.47,TRUE,5,8"
